配 件 信 息 一 览 表,,,,,,,,,,,
PEI JIAN XIN XI YI LAN BIAO,,,,,,,,,,,
打印日期：,2017/5/3,,,,,,,,,,
序号,配件编码,类别,单位,重量,一级进价,一级销价,名称,供应商名称,公司名称,定价公司,定价公司
1,0.75DYX,低压线,卷,,65,0,低压线,,,01,01
2,0010OMYBZC,仪表总成,只,,400,500,仪表总成,,,01,01
3,0014OMYBZC,仪表总成,只,,380,500,仪表总成,,,01,01
4,0015OMYBZC,仪表总成,只,,400,500,仪表总成,,,01,01
5,0016OMYBZC,仪表总成,只,,400,500,仪表总成,,,01,01
6,0019OMYBZC,仪表总成,只,,400,500,仪表总成,,,01,01
7,0025hwybzc,仪表总成,只,,950,1200,仪表总成,,,01,01
8,003A2DYF,断油阀,只,,49,75,断油阀,,,01,01
9,003DYF,断油阀,只,,0,65,断油阀,,,01,01
10,0041-3kdKG1,鲁重,只,,35,0,空档开关,,,01,01
11,0041K-1TLKDKG,鲁重,只,,10,20,空挡开关,,,01,01
12,0041KS-1J6KDKG,鲁重,只,,12,20,空挡开关,,,01,01
13,005A2DYF,断油阀,只,,49,75,断油阀,,,01,01
14,005DYF,断油阀,只,,0,65,断油阀,,,01,01
15,0068D-2,鲁重,只,,18,20,倒车灯开关,,,01,01
16,0068DCDKG,鲁重,只,,18,20,倒车灯开关,,,01,01
17,0105BMDC,马达齿,只,,28,40,马达齿,,,01,01
18,0105PMDC,马达齿,只,,28,40,马达齿,,,01,01
19,0106BMDC,马达齿,只,,28,40,马达齿,,,01,01
20,0106MDC,马达齿,只,,28,40,马达齿,,,01,01
21,0106PMDC,马达齿,只,,28,40,马达齿,,,01,01
22,0107BMDC,马达齿,只,,28,40,马达齿,,,01,01
23,0108BMDC,马达齿,只,,28,40,马达齿,,,01,01
24,0109BMDC,马达齿,只,,28,40,马达齿,,,01,01
25,010PW,皮碗,只,,10,0,皮碗,,,01,01
26,0116PMDC,马达齿,只,,28,40,马达齿,,,01,01
27,015PW,皮碗,只,,0,10,皮碗,,,01,01
28,0206-0001,佩特来,台,,2300,0,发电机,,,01,01
29,0261230011YLCGQ   ,压力传感器,只,,110,0,压力传感器,,,01,01
30,0261230013YLCGQ   ,压力传感器,只,,0,0,压力传感器,,,01,01
31,0281002902GYCGQ,电喷系列,只,,0,165,轨压传感器,,全公司共享,01,01
32,0281002937GYCGQ,电喷系列,只,,0,145,轨压传感器,,全公司共享,01,01
33,030201-0001,瑞立,只,,0,0,后分泵,,,01,01
34,030201-0002,瑞立,只,,0,0,后分泵,,,01,01
35,030201-0003,瑞立,只,,0,0,后分泵,,,01,01
36,0307-0001,挂车阀,只,,0,0,挂车阀,,,01,01
37,0307-0003,挂车阀,只,,0,0,挂车阀,,,01,01
38,031302-0001,明通,只,,120,0,助力器,,,01,01
39,031302-0002,明通,只,,120,0,助力器,,,01,01
40,031302-0003,明通,只,,0,0,助力器,,,01,01
41,031302-0004,明通,只,,180,220,助力器,,,01,01
42,0322-0001,重汽备品,只,,150,0,助力器,,,01,01
43,0322-0002,重汽备品,只,,55,0,前分泵,,,01,01
44,0322-0004,重汽备品,只,,0,0,干燥器总成,,,01,01
45,0501-000001,雨刮电机,只,,0,0,雨刮电机,瑞立集团南京分公司,,01,01
46,0501-0001,雨刮电机,只,,33,38,雨刮电机,,,01,01
47,0505-0001,雨刮连动杆,根,,60,45,雨刮连动杆,,,01,01
48,0506CL,柴滤,只,,5.3,6.5,柴滤,,,01,01
49,05komdyf1,断油阀,只,,0,0,断油阀,,,01,01
50,0667WCJYS,机油感应塞,只,,50,0,机油感应塞,,,01,01
51,0706A2JL,机滤,只,,0,4.5,机滤,,,01,01
52,0706CL,柴滤,只,,0,8.5,柴滤,,,01,01
53,0706LCL,柴滤,只,,21,11,柴滤,,,01,01
54,0708ACL,柴滤,只,,5.3,6.5,柴滤,,,01,01
55,0708AJLZC,机滤总成,只,,0,0,机滤总成,,,01,01
56,0708CL,柴滤,只,,5,6,柴滤,,,01,01
57,0708CLZC,柴滤总成,只,,0,16,柴滤总成,,,01,01
58,0708JL,机滤,只,,9,0,机滤,,,01,01
59,0708ZL,滤芯,只,,0,0,纸滤,,,01,01
60,0709A1CL,柴滤,只,,21,11,柴滤,,,01,01
61,0709ACL,柴滤,只,,0,11,柴滤,,,01,01
62,0709ACL1,柴滤,只,,21,11,柴滤,,,01,01
63,0709CL,柴滤,只,,0,7,柴滤,,,01,01
64,0710AJL,机滤,只,,7.5,8.5,机滤,,,01,01
65,0710B1CL,柴滤,只,,0,9,柴滤,,,01,01
66,0710B3CL,柴滤,只,,0,9,柴滤,,,01,01
67,0710B4CL,柴滤,只,,0,9,柴滤,,,01,01
68,0710B4CLZC,柴滤总成,只,,0,25,柴滤总成,,,01,01
69,0710BCL,柴滤,只,,0,8.5,柴滤,,,01,01
70,0710C2JLZC,机滤总成,只,,31,35,机滤总成,,,01,01
71,0710CL,柴滤,只,,0,5.2,柴滤,,,01,01
72,0710DBCLZC,柴滤总成,只,,0,17,柴滤总成,,,01,01
73,0710DZCLZC,柴滤总成,只,,,28,柴滤总成,,,01,01
74,0710skCLZC,柴滤总成,只,,28,35,柴滤总成,,,01,01
75,0710XZCLZC,柴滤总成,只,,23,27,柴滤总成,,,01,01
76,0711CL,柴滤,只,,0,0,柴滤,,,01,01
77,0712BCL,柴滤,只,,0,12,柴滤,,,01,01
78,0712CLZC,柴滤总成,只,,41,48,柴滤总成,,,01,01
79,0810A1JL,机滤,只,,7.5,8.5,机滤,,,01,01
80,0810A4JL,机滤,只,,7.5,8.5,机滤,,,01,01
81,0810AJL,机滤,只,,7.5,8.5,机滤,,,01,01
82,0810JL,机滤,只,,7.5,8.5,机滤,,,01,01
83,0810YJLZC,机滤总成,只,,31,35,机滤总成,,,01,01
84,0811BJL,机滤,只,,7.5,8.5,机滤,,,01,01
85,0813JL,机滤,只,,8,9,机滤,,,01,01
86,0814CCL,柴滤,只,,8,9,柴滤,,,01,01
87,0814JL,机滤,只,,8,9,机滤,,,01,01
88,0814JLZC,机滤总成,只,,26,30,机滤总成,,,01,01
89,0816AJL,机滤,只,,8,4.5,机滤,,,01,01
90,0816JL1,机滤,只,,8,9,机滤,,,01,01
91,0818ECL,柴滤,只,,0,0,柴滤,,,01,01
92,0818JL,机滤,只,,9,10,机滤,,,01,01
93,0901-000001,刹车灯开关,只,,0,0,刹车灯开关,,,01,01
94,0901XT,空调配件,个,,0,0,芯体,,,01,01
95,0905-0001,翘板开关,只,,3,10,喇叭开关,,,01,01
96,0912-kcl,柴滤,只,,0,12,柴滤,,,01,01
97,1.5pfDYX,低压线,卷,,65,0,低压线,,,01,01
98,10*1000PD,凯欧,根,,5,0,皮带,,,01,01
99,10*1020PD,凯欧,根,,0,0,皮带,,,01,01
100,10*1025PD,凯欧,根,,0,0,皮带,,,01,01
101,10*1030PD,凯欧,根,,0,0,皮带,,,01,01
102,10*1040PD,凯欧,根,,0,0,皮带,,,01,01
103,10*1050PD,凯欧,根,,0,0,皮带,,,01,01
104,10*1065PD,凯欧,根,,0,0,皮带,,,01,01
105,10*1067PD,凯欧,根,,0,0,皮带,,,01,01
106,10*1070PD,凯欧,根,,0,0,皮带,,,01,01
107,10*1075PD,凯欧,根,,0,0,皮带,,,01,01
108,10*1085PD,凯欧,根,,5,0,皮带,,,01,01
109,10*1120PD,凯欧,根,,0,0,皮带,,,01,01
110,10*1120PD1,凯欧,根,,0,0,皮带,,,01,01
111,10*1125PD,凯欧,根,,0,0,皮带,,,01,01
